leaf_rank,frontier_rank,leaf_type,target_leaves,node_id,title,abstract,year,journal,source_title,doi,cited_by,has_article_metadata,leaf_connection_score,sap_rank,internal_indegree,internal_outdegree,has_title_abstract
11,,sap_leaf,100,"WIJEKOON S, 2024, EUR J MARKETING",THE IMPACT OF ENTREPRENEURIAL MARKETING ON NEW VENTURE BRAND IMAGE AND PERFORMANCE: A CAPABILITY PERSPECTIVE,"PURPOSETHIS STUDY AIMS TO EXAMINE THE UNDERLYING MECHANISMS THROUGH WHICH ENTREPRENEURIAL MARKETING (EM) PROMOTES THE DEVELOPMENT OF A FAVORABLE BRAND IMAGE AND ENHANCES SALES GROWTH AND MARKET SHARE IN NEW VENTURES (NVS).DESIGN/METHODOLOGY/APPROACHTHE AUTHORS TESTED THE THEORETICAL MODEL USING A MULTI-INFORMANT DESIGN IN WHICH SURVEY DATA WERE COLLECTED FROM NV ENTREPRENEURS AND MARKETING MANAGERS. HYPOTHESES WERE TESTED USING LINEAR REGRESSION AND PROCESS ANALYSIS.FINDINGSTHE AUTHORS DEMONSTRATE THE SIGNIFICANCE OF EM AS COMPRISING TWO NV CAPABILITIES - FIRST, THE LEVEL OF COMPLEMENTARITY BETWEEN ENTREPRENEURIAL ORIENTATION (EO) AND MARKET ORIENTATION (MO) AS A DYNAMIC CAPABILITY, AND SECOND, BRAND MANAGEMENT CAPABILITIES (BMCS) AS AN OPERATIONAL CAPABILITY - IN SHAPING A FAVORABLE NV BRAND IMAGE AND PROMOTING MARKET PERFORMANCE.RESEARCH LIMITATIONS/IMPLICATIONSTHE AUTHORS OFFER A NOVEL PERSPECTIVE BY DEMONSTRATING THAT EO AND MO YIELD COMPLEMENTARITIES IN DRIVING NVS' BMCS, WHICH, IN TURN, DRIVE BRAND IMAGE DEVELOPMENT AND MARKET PERFORMANCE FOR NVS. IN DOING SO, THE AUTHORS DEMONSTRATE NOVEL THEORETICAL IMPLICATIONS FOR THE RELEVANCE OF EM TO NV BRANDING, WHICH, TO DATE, HAS RECEIVED SCANT ATTENTION IN THE LITERATURE.PRACTICAL IMPLICATIONSTHE AUTHORS IDENTIFY A POTENTIAL AVENUE FOR ENTREPRENEURS AND NV MANAGERS TO MITIGATE THE POTENTIAL FAILURE RATES BY SIMULTANEOUSLY PURSUING A HIGHER LEVEL OF EO AND MO AND INVESTING IN BRAND-BUILDING ACTIVITIES. SUCH EFFORTS CAN HELP ENHANCE BRAND IMAGE, DRIVE SALES GROWTH AND FOSTER LONG-TERM SUCCESS.ORIGINALITY/VALUETO THE BEST OF THE AUTHORS' KNOWLEDGE, THIS STUDY IS THE FIRST TO INCLUDE BRAND CAPABILITIES AS AN ELEMENT OF EM, EXAMINE EM IN NV BRAND IMAGE DEVELOPMENT AND IDENTIFY THE ROLE OF EM CAPABILITIES RELEVANT TO NV BRAND BUILDING AND MARKET PERFORMANCE SIMULTANEOUSLY.",2024.0,EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,10.1108/EJM-07-2022-0568,5.0,True,45467,2071072188,0,65,
12,,sap_leaf,100,"ABAIDAH TNABT, 2024, UCJC BUS SOC REV",THE MODEL OF ENTREPRENEURIAL MARKETING (EM) AMONG AGROPRENEURS IN THE EMERGING MARKETS: A CONCEPTUAL FRAMEWORK,"THIS RESEARCH AIMS TO GIVE AN OPPORTUNITY, VALUE CREATION AND INNOVATION TO THE AGROPRENEUR'S MODEL FARM IN THE EMERGING MARKETS IN IMPLEMENTING THE NEW COST REDUCTION PRACTICES IN THEIR FARMS USING ORGANIC FERTILIZER. THE PERFORMANCE OF SMALL MEDIUM ENTERPRISES (SMES) IS THE DEPENDENT VARIABLE, WHILE THE DIMENSIONS OF ENTREPRENEURIAL MARKETING (EM) NAMELY, I) PROACTIVENESS, II) OPPORTUNITY FOCUS, III) INNOVATIVENESS, IV) RESOURCE LEVERAGING AND, V) VALUE CREATION ACT AS THE INDEPENDENT VARIABLES. WHILE GOVERNMENT SUPPORT PROGRAMS (GSPS) MEASURED AS A MEDIATOR IN THIS STUDY. THE MODEL OF STRUCTURE FOR AGROPRENEURS PRACTICES IS CONCEPTUALIZED BASED ON THE RESEARCH ADVANTAGE THEORY (RA). THIS RESEARCH WILL EMPLOY A MIXED-METHOD DESIGN THROUGH EXPLANATORY SEQUENTIAL APPROACH. THE DATA COLLECTION STARTED WITH QUANTITATIVE AND FOLLOWED BY QUALITATIVE APPROACH IN ORDER TO ACHIEVE THE STUDY OBJECTIVES. THIS STUDY ANTICIPATED FINDINGS WHICH COULD ELUCIDATE THE IMPORTANCE OF ENTREPRENEURIAL MARKETING DIMENSIONS ON THE PERFORMANCE OF THE AGROPRENEUR BUSINESSES AS WELL AS THE MODERATING ROLE OF THE GOVERNMENT SUPPORT PROGRAM IN AFFECTING THE RELATIONSHIP BETWEEN THE AFOREMENTIONED CONSTRUCTS. THE IMPACT COULD BE SEEN IN THE AGRICULTURAL SECTOR, ESPECIALLY AGROPRENEURS IN EMERGING MARKETS. FROM THE SOCIETAL AND ECONOMIC PERSPECTIVE, THE NEW INTERVENTION OF SEVERAL AGENCIES AND THE INNOVATION USED OF FERTILIZER ARE EXPECTED TO IMPROVE THE FARMERS AND THEIR PRODUCTS. OTHER FARMERS COULD IMPLEMENT THE RESULT AND ALSO HELP THEM INCREASE THEIR INCOME. THIS RESEARCH COULD THEORETICALLY CONTRIBUTE TO BOTH MARKETING AND ENTREPRENEURSHIP LITERATURE ON THE SIGNIFICANCE OF ENTREPRENEURIAL MARKETING PRACTICES PARTICULARLY AMONG AGROPRENEURS. AS A PRACTICAL IMPLICATION, THIS STUDY OFFERS USEFUL INSIGHT FOR THE GOVERNMENT AGENCIES TO EFFECTIVELY STRATEGIES AND FORMULATE ITS' EFFORTS IN THE GOVERNMENT SUPPORT PROGRAMS DESIGNED. THIS WILL HELP PARTICULARLY THE SME AGROPRENEURS TO SUSTAIN IN THE MARKET EVENTUALLY.",2024.0,UCJC BUSINESS AND SOCIETY REVIEW,UCJC BUS SOC REV,10.3232/UBR.2024.V21.N1.05,0.0,True,45358,2061178623,0,34,
13,,sap_leaf,100,"SALIH ES, 2024, J DEV ENTREP",EXPLORING THE IMPACT OF ENTREPRENEURIAL MARKETING ON SHARED VALUE CREATION: THE MEDIATING ROLE OF ORGANIZATIONAL AMBIDEXTERITY,"IN THE KURDISTAN REGION OF IRAQ, THE FOOD AND BEVERAGE MANUFACTURING INDUSTRY FACES SIGNIFICANT CHALLENGES IN CREATING SHARED VALUE, EXACERBATED BY GOVERNMENT POLICIES, FINANCIAL CONSTRAINTS AND OUTDATED PRACTICES. ENTREPRENEURIAL MARKETING OFFERS A POTENTIAL SOLUTION, BUT RESEARCH ON ITS EFFECT IN THIS CONTEXT IS LIMITED, ESPECIALLY CONCERNING ITS RELATIONSHIP WITH ORGANIZATIONAL AMBIDEXTERITY AND SHARED VALUE CREATION. THIS STUDY AIMS TO INVESTIGATE THE EFFECT OF ENTREPRENEURIAL MARKETING ON SHARED VALUE CREATION, WITH ORGANIZATIONAL AMBIDEXTERITY ACTING AS A MEDIATING FACTOR. DATA WAS COLLECTED FROM 201 FOOD AND BEVERAGE FACTORIES IN THE REGION, REPRESENTING 61 PERCENT OF SELECTED FACTORIES AND ANALYZED USING IBM SPSS AMOS 24. THE RESULTS DEMONSTRATE A STRONG POSITIVE INFLUENCE OF ENTREPRENEURIAL MARKETING ON SHARED VALUE CREATION AND HIGHLIGHT THE PARTIAL MEDIATING ROLE OF ORGANIZATIONAL AMBIDEXTERITY IN BALANCING EXPLORATION AND EXPLOITATION. THESE FINDINGS UNDERSCORE THE IMPORTANCE OF ORGANIZATIONAL AMBIDEXTERITY IN SHAPING SHARED VALUE IN THE KURDISTAN REGION'S FOOD AND BEVERAGE SECTOR.",2024.0,JOURNAL OF DEVELOPMENTAL ENTREPRENEURSHIP,J DEV ENTREP,10.1142/S1084946724500249,0.0,True,32819,1079849963,0,22,
14,,sap_leaf,100,"TOLOSSA AT, 2024, BUS STRATEGY DEV",LINKING BUSINESS SUSTAINABLE DEVELOPMENT WITH ENTREPRENEURIAL MARKETING PRACTICES: EVIDENCE FROM SMALL AND MEDIUM ENTERPRISES IN ETHIOPIA,"BUSINESS SUSTAINABLE DEVELOPMENT (BSD) REFERS TO PRACTICES THAT MEET CURRENT ECONOMIC, ENVIRONMENTAL, AND SOCIAL NEEDS WITHOUT COMPROMISING THE ABILITY OF FUTURE GENERATIONS TO MEET THEIR OWN NEEDS. IN ETHIOPIA, PRIOR STUDIES OVERLOOKED THIS CONCEPT WHEN STUDYING ENTREPRENEURIAL MARKETING PRACTICES (EMP) IN SMALL AND MEDIUM ENTERPRISES (SMES). THIS STUDY AIMED TO INVESTIGATE THE EFFECT OF THESE PRACTICES ON THE BSD. EMPLOYING A MIXED-METHODS APPROACH, PRIMARY AND SECONDARY DATA FROM 387 SMES (SELECTED VIA STRATIFIED AND SIMPLE RANDOM SAMPLING FROM 5765) ARE ANALYZED USING STRUCTURAL EQUATION MODELING (SEM). RESULTS DEMONSTRATE A SIGNIFICANT, POSITIVE RELATIONSHIP BETWEEN EMP SUCH AS INNOVATIVENESS, OPPORTUNITY FOCUS, VALUE CREATION, PROACTIVENESS, AND SUSTAINABLE DEVELOPMENT. THE STUDY UNDERSCORES THE NECESSITY FOR SMES TO ENHANCE MARKETING PRACTICES TO ENSURE LONG-TERM VIABILITY AND COMPETITIVENESS. IT HIGHLIGHTS STAKEHOLDER ENGAGEMENT: POLICYMAKERS, LOCAL COMMUNITIES, AND CONSUMERS AS CRITICAL FOR ALIGNING MARKETING EFFORTS WITH SUSTAINABILITY GOALS. THIS ENGAGEMENT NOT ONLY MEETS CONSUMER EXPECTATIONS FOR ETHICALLY DRIVEN BUSINESSES BUT ALSO ENHANCES INCLUSIVE GROWTH AND COMMUNITY WELFARE. BY PROMOTING DIALOGUE AMONG STAKEHOLDERS, SMES DRIVE SUSTAINABLE DEVELOPMENT INITIATIVES AND ADVOCATE FOR POLICIES SUPPORTING ENVIRONMENTALLY AND SOCIALLY RESPONSIBLE PRACTICES, CONTRIBUTING TO A GREENER, SOCIALLY CONSCIOUS ECONOMY. FUTURE RESEARCH SHOULD EXPLORE MEDIATING OR MODERATING VARIABLES ACROSS DIFFERENT SME TYPES AND REGIONS. THIS STUDY'S NOVELTY LIES IN ITS INSIGHTS INTO HOW EMP IMPACT SME SUSTAINABLE DEVELOPMENT WITHIN ETHIOPIA, OFFERING VALUABLE INSIGHTS FOR STRATEGIC DECISION-MAKING AND HIGHLIGHTING THE PIVOTAL ROLE OF ENTREPRENEURIAL MARKETING (EM) IN ACHIEVING LONG-TERM SUCCESS IN DYNAMIC MARKETS.",2024.0,BUSINESS STRATEGY AND DEVELOPMENT,BUS STRATEGY DEV,10.1002/bsd2.412,6.0,True,31266,980196951,0,40,
15,,sap_leaf,100,"ROBLEDO S, 2025, J RES MARK ENTREP",EXAMINING THE ROLE OF MONETARY INCENTIVES AND TIE STRENGTH IN MEDIATING SATISFACTION AND WORD OF MOUTH IN MULTILEVEL MARKETING COMPANIES: AN ENTREPRENEURIAL MARKETING PERSPECTIVE,"PURPOSETHIS STUDY AIMS TO EXPLORE THE MEDIATING ROLES OF MONETARY INCENTIVES AND TIE STRENGTH IN THE RELATIONSHIP BETWEEN SATISFACTION AND THE WORD-OF-MOUTH (WOM) PROCESS WITHIN A MULTILEVEL MARKETING (MLM) ORGANIZATION.DESIGN/METHODOLOGY/APPROACHTHIS STUDY CONDUCTED A PERSONAL SURVEY WITH 240 DISTRIBUTORS FROM A MLM COMPANY. THE CONCEPTUAL FRAMEWORK WAS TESTED USING STRUCTURAL EQUATION MODELING.FINDINGSTHESE EMPIRICAL FINDINGS SUBSTANTIATE THE VITAL ROLE OF SATISFACTION IN GENERATING WOM. MOREOVER, MONETARY INCENTIVES AND A STRONG INTERPERSONAL CONNECTION BETWEEN THE INFORMATION PROVIDER AND RECIPIENT (TIE STRENGTH) SERVE AS PIVOTAL DRIVERS IN INITIATING THE WOM PROCESS. THESE FACTORS WERE FOUND TO MEDIATE THE RELATIONSHIP BETWEEN SATISFACTION AND WOM, UNDERSCORING THEIR STRATEGIC IMPORTANCE.RESEARCH LIMITATIONS/IMPLICATIONSTHIS RESEARCH FOCUSES ON A SINGLE MLM COMPANY, LIMITING ITS GENERALIZABILITY TO NON-MLM OR OTHER COMPANIES. THIS AREA HOLDS PROMISE FOR FUTURE RESEARCH.PRACTICAL IMPLICATIONSMLM ENTREPRENEURS SHOULD PRIORITIZE OFFERING HIGH-QUALITY PRODUCTS, WELL-DESIGNED MONETARY INCENTIVES, AND FOSTERING STRONG RELATIONSHIPS WITH CLIENTS TO ACTIVATE THE WOM PROCESS.ORIGINALITY/VALUETHE RESULTS OF THIS STUDY INDICATE THAT SATISFACTION PLAYS A SIGNIFICANT ROLE IN WOM. IN ADDITION, THIS STUDY EMPHASIZES THE IMPORTANCE OF A WELL-STRUCTURED COMPENSATION PLAN (MONETARY INCENTIVES) AND THE NEED FOR MLM ENTREPRENEURS TO STRENGTHEN RELATIONSHIPS WITH CUSTOMERS TO ENHANCE THE LIKELIHOOD OF WOM ACTIVATION.",2025.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-07-2023-0117,0.0,True,30455,930078481,0,48,
16,,sap_leaf,100,"CHOU WC, 2023, NTU MANAG REV",HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,"THIS STUDY INTENDS TO EXAMINE THE ENTREPRENEURIAL PROCESS OF INDIVIDUAL DIRECT SELLERS FROM THE PERSPECTIVE OF ENTREPRENEURIAL MARKETING, AND ADOPTS THE PROCESS METHOD WHERE EVENTS IN CHRONOLOGICAL ORDER ARE SCRUTINIZED. THIS STUDY COLLECTS DATA FROM TRIANGULAR SOURCES AND COMBINES THE FOCUS GROUP INTERVIEWS WITH IN-DEPTH INTERVIEWS TO EXAMINE 14 DIRECT SELLERS SELECTED FROM ONE DOMESTIC, AND ONE FOREIGN DIRECT SELLING BRAND, RESPECTIVELY. WE DEVELOP A DYNAMIC MODEL OF ENTREPRENEURIAL MARKETING. THE RESULTS SHOW THAT TWO RELATIONAL MANAGEMENT MECHANISMS ARE CRUCIAL TO THE SUCCESSFUL TRANSFORMATION TOWARDS THE NEXT ENTREPRENEURIAL PHASE. THE FINDINGS NOT ONLY FILL THE ACADEMIC GAP IN INDIVIDUAL-LEVEL DIRECT-SELLING STRATEGY, BUT ALSO SHED LIGHT ON ENTREPRENEURIAL MARKETING THEORY BY PROVIDING INSIGHTS REGARDING HOW RESOURCES AND INITIATIVES ARE MODIFIED, WHICH DEEPENS THE UNDERSTANDING OF ITS DYNAMICITY. MOREOVER, THIS RESEARCH EXTENDS THE TRANSACTION ORIENTED WESTERN STUDIES ON DIRECT SELLING TO THE 'QUANXI' (RELATIONSHIP) ORIENTED EASTERN CONTEXT THAT ESPECIALLY VALUES RELATIONAL NETWORK. IN PRACTICES, THE FINDINGS COULD ASSIST DIRECT SELLERS AND INTERPERSONAL-ORIENTED MICRO-ENTREPRENEURS TO DEVELOP PERSONAL BUSINESS TACTICS, AND SERVE AS REFERENCES FOR DIRECT SELLING COMPANIES TO PLAN FOR TRAINING PROGRAM OF BRAND AFFILIATES (BA) AND BRAND REPRESENTATIVES (BR).",2023.0,NTU MANAGEMENT REVIEW,NTU MANAG REV,10.6226/NTUMR.202308_33(2).0004,0.0,True,27533,760388225,0,51,
17,,sap_leaf,100,"KAKEESH DF, 2025, J MARK ANAL",ENTREPRENEURIAL MARKETING AND BUSINESS PERFORMANCE IN SMES: THE MEDIATING ROLE OF COMPETITIVE AGGRESSIVENESS,"THIS STUDY EXAMINES THE INTERPLAY BETWEEN ENTREPRENEURIAL MARKETING ORIENTATION AND BUSINESS PERFORMANCE AMONG SMES IN THE SERVICES SECTOR, WITH A PARTICULAR FOCUS ON COMPETITIVE AGGRESSIVENESS AS A MEDIATING FACTOR. DRAWING FROM A SAMPLE OF 320 SERVICE-BASED COMPANIES VIA BOTH ONLINE AND PAPER-BASED SURVEYS, THE RESEARCH EMPLOYS STRUCTURAL EQUATION MODELLING USING AMOS SOFTWARE TO ANALYSE THE DATA. THE RESULTS UNDERSCORE A SIGNIFICANT POSITIVE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING ORIENTATION AND BUSINESS PERFORMANCE AMONG SERVICE-BASED SMES IN JORDAN. BY DELVING INTO THE UNIQUE MARKETING CHALLENGES AND OPPORTUNITIES FACED BY THESE ENTERPRISES, THIS RESEARCH NOT ONLY OFFERS ACTIONABLE INSIGHTS FOR PRACTITIONERS BUT ALSO ENRICHES THE ENTREPRENEURIAL MARKETING DISCOURSE. THIS EXPLORATION DELVES INTO THE DOMAIN OF ENTREPRENEURIAL MARKETING ORIENTATION, EMPHASIZING ITS CRITICAL ROLE IN ENHANCING SME COMPETITIVENESS AND GROWTH WITHIN A DEVELOPING ECONOMY. INCORPORATING MARKETING ANALYTICS, THE STUDY OFFERS A DETAILED UNDERSTANDING THAT ENRICHES ACADEMIC LITERATURE AND INFORMS POLICY DEVELOPMENT FOR SUSTAINABLE ECONOMIC PROGRESS.",2025.0,JOURNAL OF MARKETING ANALYTICS,J MARK ANAL,10.1057/s41270-024-00310-5,8.0,True,26228,690118043,0,52,
18,,sap_leaf,100,"ALFORD P, 2025, INT J ENTREP BEHAV R",DIGITAL ENTREPRENEURIAL MARKETING BRICOLAGE: SHAPING TECHNOLOGY-IN-PRACTICE,"PURPOSE THE USE OF DIGITAL MARKETING TECHNOLOGIES REMAINS LOW IN SMALL MEDIUM ENTERPRISES (SMES), WITH DIGITAL TRANSFORMATION BEING A CONCERN FOR GOVERNMENTS GLOBALLY. THIS STUDY REPORTS ON THE HUMAN-TECHNOLOGY INTERACTION PROCESS, USING DIGITAL ENTREPRENEURIAL MARKETING (DEM) BRICOLAGE AND A SOCIOMATERIALITY LENS TO EXAMINE MORE DEEPLY ORGANISATIONAL INTERACTION BETWEEN MARKETERS AND DIGITAL MARKETING TECHNOLOGIES IN THESE FIRMS.DESIGN/METHODOLOGY/APPROACH A QUALITATIVE CASE STUDY AND PURPOSIVE SAMPLING APPROACH ARE DEPLOYED, USING SEVEN SMES IN THE SAME UK REGION. A BRICOLAGE AND SOCIOMATERIALITY FRAMEWORK AND TEMPLATE ANALYSIS ARE USED TO IDENTIFY DIGITAL MARKETING STRATEGIES AND CHALLENGES, LEVELS OF DIGITAL MARKETING BRICOLAGE AND ASSESS THE VALUE FOR EACH FIRM.FINDINGS FIRMS PRACTICE DIFFERENT LEVELS OF DEM BRICOLAGE DEPENDING ON THE INTERACTIONS OF THE MARKETERS WITH DIGITAL MARKETING TOOLS. THOSE MARKETERS IN FIRMS WHO HAD HIGHER LEVELS OF INTERACTION BETWEEN THE HUMAN AND THE TECHNOLOGICAL PROVIDED GREATER LONG-TERM STRATEGIC VALUE FOR THE SME.ORIGINALITY/VALUE THIS IS THE FIRST STUDY TO APPLY A SOCIOMATERIALITY LENS TO BRICOLAGE IN AN SME DIGITAL MARKETING CONTEXT AND ALLOWS US TO VIEW THE WAY IN WHICH EMPLOYEES INTERACT WITH DIGITAL MARKETING TECHNOLOGY AND CREATE VALUE. THERE IS SCARCE EMPIRICAL DATA IN THIS AREA DESPITE NUMEROUS CALLS IN THE DEVELOPING FIELD OF ENTREPRENEURSHIP AND DIGITALISATION IN SMALL AND GROWING FIRMS.",2025.0,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-07-2024-0746,5.0,True,24515,603052032,0,25,
19,,sap_leaf,100,"GOYAL A, 2025, TOUR HOSP MANAG-CROA",INFLUENCE OF ENTREPRENEURIAL MARKETING ON HOTEL INDUSTRY PERFORMANCE: A MEDIATION ANALYSIS,"PURPOSE - THROUGH MARKETING COMPETENCE AS A MEDIATING FACTOR, THIS RESEARCH SEEKS TO EXAMINE THE EFFECTS OF ENTREPRENEURIAL MARKETING PERSPECTIVE ON THE FINANCIAL PERFORMANCE OF THE HOTEL INDUSTRY. METHODOLOGY - A SAMPLE OF 255 HOTEL MANAGERS, HUMAN RESOURCE DIRECTORS, AND OTHER STAFF MEMBERS FROM RAJASTHAN, INDIA, AND THE SMALL-SIZED HOTEL INDUSTRY GAVE DATA USING A STANDARDIZED QUESTIONNAIRE. THE DEVELOPED RESEARCH HYPOTHESES WERE TESTED USING THE STRUCTURAL EQUATION MODELING (SEM) METHOD. FINDINGS - AS PER THE EMPIRICAL RESULTS, ENTREPRENEURIAL ORIENTATION (EO) FACTORS SIGNIFICANTLY IMPACT BUSINESS SUCCESS. THE ABILITY OF THE SERVICE SECTOR TO MARKET ITS PRODUCTS PARTIALLY MEDIATES THE EFFECTS OF ENTREPRENEURIAL ORIENTATION CHARACTERISTICS ON HOTEL INDUSTRY SUCCESS. ORIGINALITY OF THE RESEARCH - THIS RESEARCH WAS CONDUCTED WITH ENTREPRENEURS OF A SINGLE INDUSTRY IN A SPECIFIC COUNTRY USING CROSS-SECTIONAL DATA. THE EXISTING RESEARCH MODEL MAY BE EXTENDED WITH LONGITUDINAL DATA OF OTHER SERVICE SECTORS ESTABLISHED IN DIFFERENT NATIONS. MOREOVER, NEW RESEARCH CONSTRUCTS MAY BE ADDED TO IT FOR FURTHER INVESTIGATION. THE STUDY CONTRIBUTES TO DEVELOPING NATIONS' ENTREPRENEURIAL MARKETING BY EVALUATING THE SIGNIFICANCE OF ENTREPRENEURIAL ATTITUDE IN PREDICTING BUSINESS PERFORMANCE IN EMERGING ECONOMIES. THIS STUDY ALSO SHOWS HOW RESEARCH FINDINGS OF DEVELOPED ECONOMIES CAN BE APPLIED TO EMERGING ECONOMIES.",2025.0,TOURISM AND HOSPITALITY MANAGEMENT-CROATIA,TOUR HOSP MANAG-CROA,10.20867/thm.31.3.6,1.0,True,24456,600156252,0,53,
20,,sap_leaf,100,"LOTFABADI VT, 2024, INTERD J MANAGE STUD",HOW ENTREPRENEURIAL MARKETING LEADS TO CUSTOMER SATISFACTION (THE MEDIATION EFFECT OF CUSTOMER VALUE),"THE CURRENT STUDY AIMS TO DEEPEN THE KNOWLEDGE OF THE DIRECT AND INDIRECT EFFECTS OF ENTREPRENEURIAL MARKETING ON CUSTOMER SATISFACTION THROUGH CUSTOMER VALUE. THE STATISTICAL POPULATION OF THIS STUDY IS FOOD AND AGRICULTURAL PRODUCTS EXPORTING COMPANIES PARTICIPATING IN THE 27TH INTERNATIONAL AGROFOOD EXHIBITION IN TEHRAN 2020. FINALLY, 259 QUESTIONNAIRES CONSIDERING SYSTEMATIC RANDOM SAMPLING METHODS WERE EXPLORED BY STRUCTURAL EQUATION MODELING (SEM) USING SMART PLS3 SOFTWARE. THE RESULT REVEALS THAT ENTREPRENEURIAL MARKETING AFFECTS CUSTOMER SATISFACTION DIRECTLY AND INDIRECTLY THROUGH CUSTOMER VALUE. MOREOVER, INNOVATIVENESS, PROACTIVENESS, RESOURCE LEVERAGE, AND CUSTOMER ORIENTATION INCREASE BOTH CUSTOMER VALUE AND CUSTOMER SATISFACTION POSITIVELY. HOWEVER, THE IMPACT OF RISK-TAKING ON BOTH CUSTOMER VALUE AND CUSTOMER SATISFACTION IS NOT SIGNIFICANT. THIS STUDY CONTRIBUTES TO THE THEORETICAL GROUND OF ENTREPRENEURIAL MARKETING LITERATURE BY PROVIDING THIS KNOWLEDGE THAT WHICH DIMENSIONS MAY AFFECT SATISFACTION DIRECTLY AND INDIRECTLY THROUGH CUSTOMER VALUE.",2024.0,INTERDISCIPLINARY JOURNAL OF MANAGEMENT STUDIES,INTERD J MANAGE STUD,10.22059/ijms.2023.347747.675310,2.0,True,19742,391413146,0,39,
21,,sap_leaf,100,"MARIN A, 2023, J MARKET EDUC","FROM LAB TO MARKET: LEARNING ENTREPRENEURIAL MARKETING THROUGH MULTI-SEMESTER, STAGE-GATE, CAPSTONE PROJECT IN STEM MBA","ENTREPRENEURS BUILD SUCCESSFUL BUSINESSES BY TAKING INNOVATIVE IDEAS FROM RESEARCH LABS TO MARKET. THIS ARTICLE DESCRIBES A PEDAGOGICAL APPROACH AND ITS OUTCOMES IN UTILIZING A MULTI-STAGE, MULTI-COURSE, AND MULTI-SEMESTER CAPSTONE INTEGRATIVE PROJECT TO TEACH ENTREPRENEURIAL MARKETING (EM) OF EARLY-STAGE TECHNOLOGIES. HEREIN WE EXPLAIN CONCEPTS AND PRACTICES THAT ENABLE THE LEARNING NEEDED WITHIN STEM (SCIENCE, TECHNOLOGY, ENGINEERING, MATHEMATICS) MBA PROGRAMS TO COMMERCIALIZE AND MARKET PRODUCTS AND SERVICES ARISING FROM NEW TECHNOLOGIES. THE PEDAGOGY FOLLOWS A FOUR-COURSE SEQUENCE THAT APPLIES STRATEGIC FRAMEWORKS AND TOOLS TO DEVELOP OPPORTUNITY SPACE FOR A PATENTED IDEA, DEVELOP THE IDEA INTO PRODUCT OPTIONS, UNDERTAKE CUSTOMER DISCOVERY, BUILD MARKETING AND SALES STRATEGIES, AND TRANSLATE OPPORTUNITIES INTO VENTURE PLANNING. THESE LAB-TO-MARKET OUTCOMES ARE ACCOMPLISHED BY APPLYING DELIBERATE PRACTICE-BASED ACTION LEARNING METHODS TO BUILD STUDENTS' KNOWLEDGE BASES AND PROBLEM-SOLVING PROCESS SKILLS THAT INCREASE THEIR ENTREPRENEURIAL EXPERTISE. THROUGH LEARNER ENGAGEMENT IN A SEQUENCE OF INNOVATIVE, DATA-DRIVEN, ANALYTICAL PROCESSES THAT FOCUS ON IDENTIFYING, VALIDATING, AND STRATEGIZING AROUND SCALABLE NEW IDEAS, THIS PEDAGOGY ENABLES STUDENTS TO LEARN EM SKILLS THAT CAN BE APPLIED TO DIFFERENT INDUSTRIES AND COMPANIES AT VARIOUS STAGES OF DEVELOPMENT BUT WITH AN EMPHASIS ON EARLY-STAGE TECHNOLOGIES.",2023.0,JOURNAL OF MARKETING EDUCATION,J MARKET EDUC,10.1177/02734753231185415,7.0,True,18056,327538038,0,44,
